Date,HE,MWh
12/16/2018,1,11601.94
12/16/2018,2,11539.7
12/16/2018,3,11287.14
12/16/2018,4,11212.09
12/16/2018,5,11289.47
12/16/2018,6,11599.04
12/16/2018,7,11801.6
12/16/2018,8,12406.69
12/16/2018,9,13073.19
12/16/2018,10,13748.44
12/16/2018,11,14038.74
12/16/2018,12,14162.89
12/16/2018,13,14229.41
12/16/2018,14,14261.1
12/16/2018,15,14347.75
12/16/2018,16,14712.81
12/16/2018,17,15826.59
12/16/2018,18,16395.22
12/16/2018,19,16243.14
12/16/2018,20,15826.07
12/16/2018,21,15303.23
12/16/2018,22,14362.65
12/16/2018,23,13127.29
12/16/2018,24,12264.63
12/17/2018,1,11998.34
12/17/2018,2,11952.99
12/17/2018,3,11803.89
12/17/2018,4,11841.12
12/17/2018,5,11887.62
12/17/2018,6,12396.25
12/17/2018,7,14038.21
12/17/2018,8,15151.59
12/17/2018,9,15406.43
12/17/2018,10,15344.86
12/17/2018,11,15360.01
12/17/2018,12,15313.38
12/17/2018,13,15251.59
12/17/2018,14,15334.22
12/17/2018,15,15201.93
12/17/2018,16,15545.97
12/17/2018,17,16644.34
12/17/2018,18,17463.22
12/17/2018,19,17340.32
12/17/2018,20,16929.53
12/17/2018,21,16281.84
12/17/2018,22,15255.52
12/17/2018,23,13893.27
12/17/2018,24,12660.98
12/18/2018,1,12495.04
12/18/2018,2,12409.96
12/18/2018,3,12463.04
12/18/2018,4,12750.75
12/18/2018,5,13050.14
12/18/2018,6,13593.18
12/18/2018,7,15311.44
12/18/2018,8,16395.91
12/18/2018,9,16324.61
12/18/2018,10,15874.47
12/18/2018,11,15281.25
12/18/2018,12,14827.16
12/18/2018,13,14716.36
12/18/2018,14,15008.84
12/18/2018,15,15327.12
12/18/2018,16,16067.44
12/18/2018,17,17342.23
12/18/2018,18,18287.62
12/18/2018,19,18253.44
12/18/2018,20,17978.38
12/18/2018,21,17461.45
12/18/2018,22,16516.86
12/18/2018,23,15163.46
12/18/2018,24,13892.9
12/19/2018,1,13411.33
12/19/2018,2,13335.62
12/19/2018,3,13142.53
12/19/2018,4,13315.39
12/19/2018,5,13412.44
12/19/2018,6,14253.06
12/19/2018,7,15811.17
12/19/2018,8,16773.46
12/19/2018,9,16488.72
12/19/2018,10,15690.02
12/19/2018,11,14973.2
12/19/2018,12,14474
12/19/2018,13,14138.44
12/19/2018,14,14373.73
12/19/2018,15,14783.65
12/19/2018,16,15361.71
12/19/2018,17,16667.85
12/19/2018,18,17609.94
12/19/2018,19,17544.33
12/19/2018,20,17231.04
12/19/2018,21,16702.99
12/19/2018,22,15766.14
12/19/2018,23,14454.93
12/19/2018,24,13202.04
12/20/2018,1,12391.68
12/20/2018,2,12024.73
12/20/2018,3,12028.13
12/20/2018,4,12064.15
12/20/2018,5,12448.2
12/20/2018,6,13289.67
12/20/2018,7,15035.18
12/20/2018,8,16016.64
12/20/2018,9,15735.64
12/20/2018,10,14924.3
12/20/2018,11,14472.51
12/20/2018,12,14167.7
12/20/2018,13,14188.91
12/20/2018,14,14230.65
12/20/2018,15,14534.8
12/20/2018,16,15051.12
12/20/2018,17,16193.16
12/20/2018,18,16862.22
12/20/2018,19,16723.34
12/20/2018,20,16346.24
12/20/2018,21,15800.9
12/20/2018,22,14864.74
12/20/2018,23,13577.54
12/20/2018,24,12308.94
12/21/2018,1,11808.27
12/21/2018,2,11530.61
12/21/2018,3,11439.63
12/21/2018,4,11383.05
12/21/2018,5,11652.02
12/21/2018,6,12359.33
12/21/2018,7,13490.59
12/21/2018,8,14413.38
12/21/2018,9,14873.55
12/21/2018,10,15105.4
12/21/2018,11,15222.56
12/21/2018,12,15231.32
12/21/2018,13,15066.31
12/21/2018,14,14997.21
12/21/2018,15,14844.62
12/21/2018,16,14885.69
12/21/2018,17,15509.36
12/21/2018,18,15817.34
12/21/2018,19,15433.83
12/21/2018,20,14884.88
12/21/2018,21,14278.52
12/21/2018,22,13485.47
12/21/2018,23,12483.69
12/21/2018,24,11594.47
12/22/2018,1,10765.83
12/22/2018,2,10526.22
12/22/2018,3,10454
12/22/2018,4,10314.23
12/22/2018,5,10382.52
12/22/2018,6,10484.21
12/22/2018,7,10670.17
12/22/2018,8,11515.53
12/22/2018,9,12379.63
12/22/2018,10,12995.98
12/22/2018,11,13329.78
12/22/2018,12,13329.98
12/22/2018,13,13100.31
12/22/2018,14,12972.27
12/22/2018,15,13061.31
12/22/2018,16,13528.38
12/22/2018,17,14604.63
12/22/2018,18,15394.23
12/22/2018,19,15296.45
12/22/2018,20,14975.03
12/22/2018,21,14601.48
12/22/2018,22,14074.47
12/22/2018,23,13272.35
12/22/2018,24,12327.64
12/23/2018,1,11552.47
12/23/2018,2,11202.15
12/23/2018,3,11086.51
12/23/2018,4,11010.65
12/23/2018,5,11121.49
12/23/2018,6,11251.32
12/23/2018,7,11838.65
12/23/2018,8,12558.2
12/23/2018,9,13038.63
12/23/2018,10,12992.52
12/23/2018,11,12716.72
12/23/2018,12,12468.13
12/23/2018,13,12401.56
12/23/2018,14,12778.31
12/23/2018,15,13262.06
12/23/2018,16,13912.92
12/23/2018,17,14931.78
12/23/2018,18,15899.51
12/23/2018,19,15883.62
12/23/2018,20,15602.95
12/23/2018,21,15271.76
12/23/2018,22,14639.36
12/23/2018,23,13696
12/23/2018,24,12670.15
12/24/2018,1,11913.98
12/24/2018,2,11942.99
12/24/2018,3,12104.77
12/24/2018,4,12147.39
12/24/2018,5,12351.25
12/24/2018,6,12351.76
12/24/2018,7,12783.94
12/24/2018,8,13636.4
12/24/2018,9,14299.56
12/24/2018,10,14558
12/24/2018,11,14788.8
12/24/2018,12,14975.54
12/24/2018,13,14884.6
12/24/2018,14,14759.34
12/24/2018,15,14760.73
12/24/2018,16,14980.92
12/24/2018,17,15673.89
12/24/2018,18,15845.12
12/24/2018,19,15178.06
12/24/2018,20,14542.29
12/24/2018,21,14167.92
12/24/2018,22,14016.64
12/24/2018,23,13213.13
12/24/2018,24,12414.08
12/25/2018,1,11930.02
12/25/2018,2,11756.8
12/25/2018,3,11902.53
12/25/2018,4,11963.44
12/25/2018,5,12087.03
12/25/2018,6,12166.04
12/25/2018,7,12543.87
12/25/2018,8,13225.75
12/25/2018,9,13377.91
12/25/2018,10,12967.06
12/25/2018,11,12567.17
12/25/2018,12,12331.09
12/25/2018,13,12227.44
12/25/2018,14,12335.49
12/25/2018,15,12749.62
12/25/2018,16,13041.17
12/25/2018,17,13985.02
12/25/2018,18,14625.98
12/25/2018,19,14588.42
12/25/2018,20,14518.01
12/25/2018,21,14367.96
12/25/2018,22,13980.25
12/25/2018,23,13257.7
12/25/2018,24,12486.01
12/26/2018,1,12133.14
12/26/2018,2,11909.69
12/26/2018,3,11953.07
12/26/2018,4,12010.88
12/26/2018,5,12329.07
12/26/2018,6,12736.38
12/26/2018,7,13832.38
12/26/2018,8,14775.93
12/26/2018,9,15112.88
12/26/2018,10,14973.35
12/26/2018,11,14689.75
12/26/2018,12,14371.19
12/26/2018,13,14205.45
12/26/2018,14,14429.93
12/26/2018,15,14850.48
12/26/2018,16,15390.1
12/26/2018,17,16421.31
12/26/2018,18,17203.8
12/26/2018,19,17000.19
12/26/2018,20,16543.16
12/26/2018,21,15932.92
12/26/2018,22,15056.69
12/26/2018,23,13930.75
12/26/2018,24,13053.15
12/27/2018,1,12570.93
12/27/2018,2,12447.04
12/27/2018,3,12411.61
12/27/2018,4,12383.52
12/27/2018,5,12408.81
12/27/2018,6,12952.92
12/27/2018,7,13829.58
12/27/2018,8,14652.57
12/27/2018,9,14896.91
12/27/2018,10,14732.07
12/27/2018,11,14410.11
12/27/2018,12,14111.15
12/27/2018,13,13948.75
12/27/2018,14,14209.97
12/27/2018,15,14431.43
12/27/2018,16,15028.57
12/27/2018,17,16163.63
12/27/2018,18,17031.18
12/27/2018,19,16860.14
12/27/2018,20,16435.79
12/27/2018,21,15853.69
12/27/2018,22,14981.85
12/27/2018,23,13819.67
12/27/2018,24,12706.86
12/28/2018,1,11907.15
12/28/2018,2,11646.36
12/28/2018,3,11405.73
12/28/2018,4,11576.7
12/28/2018,5,11662.24
12/28/2018,6,12085.94
12/28/2018,7,13167.35
12/28/2018,8,14191.71
